Entity	Label1	Label2
http://purl.obolibrary.org/obo/BFO_0000001	entity	
http://purl.obolibrary.org/obo/BFO_0000002	continuant	
http://purl.obolibrary.org/obo/BFO_0000016	disposition	
http://purl.obolibrary.org/obo/BFO_0000017	realizable entity	
http://purl.obolibrary.org/obo/BFO_0000020	specifically dependent continuant	
http://purl.obolibrary.org/obo/BFO_0000031	generically dependent continuant	
http://purl.obolibrary.org/obo/LANG_0000001	Language	Sprache
http://purl.obolibrary.org/obo/LANG_0000009	Language Capability	Sprachfähigkeit
http://purl.obolibrary.org/obo/LANG_0000010	CEFR Global Scale Proficient User Capability	CEFR Global Scale Kompetente Benutzerfähigkeit
http://purl.obolibrary.org/obo/LANG_0000011	CEFR Global Scale Proficient User C2 Capability	CEFR Global Scale Kompetente Benutzerfähigkeit C2
http://purl.obolibrary.org/obo/LANG_0000012	CEFR Global Scale Proficient User C1 Capability	CEFR Global Scale Kompetente Benutzerfähigkeit C1
http://purl.obolibrary.org/obo/LANG_0000013	CEFR Global Scale Independent User Capability	CEFR Global Scale Unabhängige Nutzerfähigkeit
http://purl.obolibrary.org/obo/LANG_0000014	CEFR Global Scale Independent User B2+ Capability	CEFR Global Scale Unabhängige Nutzerfähigkeit B2+
http://purl.obolibrary.org/obo/LANG_0000015	CEFR Global Scale Independent User B2 Capability	CEFR Global Scale Unabhängige Nutzerfähigkeit B2
http://purl.obolibrary.org/obo/LANG_0000016	CEFR Global Scale Independent User B1+ Capability	CEFR Global Scale Unabhängige Nutzerfähigkeit B1+
http://purl.obolibrary.org/obo/LANG_0000017	CEFR Global Scale Independent User B1 Capability	CEFR Global Scale Unabhängige Nutzerfähigkeit B1
http://purl.obolibrary.org/obo/LANG_0000018	CEFR Global Scale Basic User Capability	CEFR Global Scale Grundlegende Benutzerfähigkeiten
http://purl.obolibrary.org/obo/LANG_0000019	CEFR Global Scale Basic User A2+ Capability	CEFR Global Scale Grundlegende Benutzerfähigkeiten A2+
http://purl.obolibrary.org/obo/LANG_0000020	CEFR Global Scale Basic User A2 Capability	CEFR Global Scale Grundlegende Benutzerfähigkeiten A2
http://purl.obolibrary.org/obo/LANG_0000021	CEFR Global Scale Basic User A1 Capability	CEFR Global Scale Grundlegende Benutzerfähigkeiten A1
http://purl.obolibrary.org/obo/LANG_1000001	Alumu-Tesu	
http://purl.obolibrary.org/obo/LANG_1000002	Ari	
http://purl.obolibrary.org/obo/LANG_1000003	Amal	
http://purl.obolibrary.org/obo/LANG_1000004	Arbëreshë Albanian	
http://purl.obolibrary.org/obo/LANG_1000005	Aranadan	
http://purl.obolibrary.org/obo/LANG_1000006	Ambrak	
http://purl.obolibrary.org/obo/LANG_1000007	Abu' Arapesh	
http://purl.obolibrary.org/obo/LANG_1000008	Arifama-Miniafia	
http://purl.obolibrary.org/obo/LANG_1000009	Ankave	
http://purl.obolibrary.org/obo/LANG_1000010	Afade	
http://purl.obolibrary.org/obo/LANG_1000011	Anambé	
http://purl.obolibrary.org/obo/LANG_1000012	Algerian Saharan Arabic	
http://purl.obolibrary.org/obo/LANG_1000013	Pará Arára	
http://purl.obolibrary.org/obo/LANG_1000014	Eastern Abnaki	
http://purl.obolibrary.org/obo/LANG_1000015	Afar	Danakil-Sprache
http://purl.obolibrary.org/obo/LANG_1000016	Aasáx	
http://purl.obolibrary.org/obo/LANG_1000017	Arvanitika Albanian	
http://purl.obolibrary.org/obo/LANG_1000018	Abau	
http://purl.obolibrary.org/obo/LANG_1000019	Solong	
http://purl.obolibrary.org/obo/LANG_1000020	Mandobo Atas	
http://purl.obolibrary.org/obo/LANG_1000021	Amarasi	
http://purl.obolibrary.org/obo/LANG_1000022	Abé	
http://purl.obolibrary.org/obo/LANG_1000023	Bankon	
http://purl.obolibrary.org/obo/LANG_1000024	Ambala Ayta	
http://purl.obolibrary.org/obo/LANG_1000025	Manide	
http://purl.obolibrary.org/obo/LANG_1000026	Western Abnaki	
http://purl.obolibrary.org/obo/LANG_1000027	Abai Sungai	
http://purl.obolibrary.org/obo/LANG_1000028	Abaga	
http://purl.obolibrary.org/obo/LANG_1000029	Tajiki Arabic	
http://purl.obolibrary.org/obo/LANG_1000030	Abidji	
http://purl.obolibrary.org/obo/LANG_1000031	Aka-Bea	
http://purl.obolibrary.org/obo/LANG_1000032	Abkhazian	Abchasisch
http://purl.obolibrary.org/obo/LANG_1000033	Lampung Nyo	
http://purl.obolibrary.org/obo/LANG_1000034	Abanyom	
http://purl.obolibrary.org/obo/LANG_1000035	Abua	
http://purl.obolibrary.org/obo/LANG_1000036	Abon	
http://purl.obolibrary.org/obo/LANG_1000037	Abellen Ayta	
http://purl.obolibrary.org/obo/LANG_1000038	Abaza	
http://purl.obolibrary.org/obo/LANG_1000039	Abron	
http://purl.obolibrary.org/obo/LANG_1000040	Ambonese Malay	
http://purl.obolibrary.org/obo/LANG_1000041	Ambulas	
http://purl.obolibrary.org/obo/LANG_1000042	Abure	
http://purl.obolibrary.org/obo/LANG_1000043	Baharna Arabic	
http://purl.obolibrary.org/obo/LANG_1000044	Pal	
http://purl.obolibrary.org/obo/LANG_1000045	Inabaknon	
http://purl.obolibrary.org/obo/LANG_1000046	Aneme Wake	
http://purl.obolibrary.org/obo/LANG_1000047	Abui	
http://purl.obolibrary.org/obo/LANG_1000048	Achagua	
http://purl.obolibrary.org/obo/LANG_1000049	Áncá	
http://purl.obolibrary.org/obo/LANG_1000050	Gikyode	
http://purl.obolibrary.org/obo/LANG_1000051	Achinese	Aceh-Sprache
http://purl.obolibrary.org/obo/LANG_1000052	Saint Lucian Creole French	
http://purl.obolibrary.org/obo/LANG_1000053	Acoli	Acholi-Sprache
http://purl.obolibrary.org/obo/LANG_1000054	Aka-Cari	
http://purl.obolibrary.org/obo/LANG_1000055	Aka-Kora	
http://purl.obolibrary.org/obo/LANG_1000056	Akar-Bale	
http://purl.obolibrary.org/obo/LANG_1000057	Mesopotamian Arabic	
