?s	?lang1	?lang2
<http://purl.obolibrary.org/obo/BFO_0000001>	"entity"@en	""
<http://purl.obolibrary.org/obo/BFO_0000002>	"continuant"@en	""
<http://purl.obolibrary.org/obo/BFO_0000016>	"disposition"@en	""
<http://purl.obolibrary.org/obo/BFO_0000017>	"realizable entity"@en	""
<http://purl.obolibrary.org/obo/BFO_0000020>	"specifically dependent continuant"@en	""
<http://purl.obolibrary.org/obo/BFO_0000031>	"generically dependent continuant"@en	""
<http://purl.obolibrary.org/obo/BFO_0000179>		
<http://purl.obolibrary.org/obo/BFO_0000180>		
<http://purl.obolibrary.org/obo/IAO_0000112>		
<http://purl.obolibrary.org/obo/IAO_0000115>		
<http://purl.obolibrary.org/obo/IAO_0000116>		
<http://purl.obolibrary.org/obo/IAO_0000117>		
<http://purl.obolibrary.org/obo/IAO_0000119>		
<http://purl.obolibrary.org/obo/IAO_0000600>		
<http://purl.obolibrary.org/obo/IAO_0000601>		
<http://purl.obolibrary.org/obo/IAO_0000602>		
<http://purl.obolibrary.org/obo/IAO_0010000>		
<http://purl.obolibrary.org/obo/LANG_0000001>	"Language"@en	"Sprache"@de
<http://purl.obolibrary.org/obo/LANG_0000002>	"ISO 639-1 Code"@en	""
<http://purl.obolibrary.org/obo/LANG_0000003>	"ISO 639-2T Code"@en	""
<http://purl.obolibrary.org/obo/LANG_0000004>	"ISO 639-2B Code"@en	""
<http://purl.obolibrary.org/obo/LANG_0000005>	"ISO 639-3 Code"@en	""
<http://purl.obolibrary.org/obo/LANG_0000006>	"ISO 639 Language Scope"@en	""
<http://purl.obolibrary.org/obo/LANG_0000007>	"ISO 639 Language Type"@en	""
<http://purl.obolibrary.org/obo/LANG_0000008>	"ISO 639 Language Comment"@en	""
<http://purl.obolibrary.org/obo/LANG_0000009>	"Language Capability"@en	"Sprachfähigkeit"@de
<http://purl.obolibrary.org/obo/LANG_0000010>	"CEFR Global Scale Proficient User Capability"@en	"CEFR Global Scale Kompetente Benutzerfähigkeit"@de
<http://purl.obolibrary.org/obo/LANG_0000011>	"CEFR Global Scale Proficient User C2 Capability"@en	"CEFR Global Scale Kompetente Benutzerfähigkeit C2"@de
<http://purl.obolibrary.org/obo/LANG_0000012>	"CEFR Global Scale Proficient User C1 Capability"@en	"CEFR Global Scale Kompetente Benutzerfähigkeit C1"@de
<http://purl.obolibrary.org/obo/LANG_0000013>	"CEFR Global Scale Independent User Capability"@en	"CEFR Global Scale Unabhängige Nutzerfähigkeit"@de
<http://purl.obolibrary.org/obo/LANG_0000014>	"CEFR Global Scale Independent User B2+ Capability"@en	"CEFR Global Scale Unabhängige Nutzerfähigkeit B2+"@de
<http://purl.obolibrary.org/obo/LANG_0000015>	"CEFR Global Scale Independent User B2 Capability"@en	"CEFR Global Scale Unabhängige Nutzerfähigkeit B2"@de
<http://purl.obolibrary.org/obo/LANG_0000016>	"CEFR Global Scale Independent User B1+ Capability"@en	"CEFR Global Scale Unabhängige Nutzerfähigkeit B1+"@de
<http://purl.obolibrary.org/obo/LANG_0000017>	"CEFR Global Scale Independent User B1 Capability"@en	"CEFR Global Scale Unabhängige Nutzerfähigkeit B1"@de
<http://purl.obolibrary.org/obo/LANG_0000018>	"CEFR Global Scale Basic User Capability"@en	"CEFR Global Scale Grundlegende Benutzerfähigkeiten"@de
<http://purl.obolibrary.org/obo/LANG_0000019>	"CEFR Global Scale Basic User A2+ Capability"@en	"CEFR Global Scale Grundlegende Benutzerfähigkeiten A2+"@de
<http://purl.obolibrary.org/obo/LANG_0000020>	"CEFR Global Scale Basic User A2 Capability"@en	"CEFR Global Scale Grundlegende Benutzerfähigkeiten A2"@de
<http://purl.obolibrary.org/obo/LANG_0000021>	"CEFR Global Scale Basic User A1 Capability"@en	"CEFR Global Scale Grundlegende Benutzerfähigkeiten A1"@de
<http://purl.obolibrary.org/obo/LANG_1000001>	"Alumu-Tesu"@en	""
<http://purl.obolibrary.org/obo/LANG_1000002>	"Ari"@en	""
<http://purl.obolibrary.org/obo/LANG_1000003>	"Amal"@en	""
<http://purl.obolibrary.org/obo/LANG_1000004>	"Arbëreshë Albanian"@en	""
<http://purl.obolibrary.org/obo/LANG_1000005>	"Aranadan"@en	""
<http://purl.obolibrary.org/obo/LANG_1000006>	"Ambrak"@en	""
<http://purl.obolibrary.org/obo/LANG_1000007>	"Abu' Arapesh"@en	""
<http://purl.obolibrary.org/obo/LANG_1000008>	"Arifama-Miniafia"@en	""
<http://purl.obolibrary.org/obo/LANG_1000009>	"Ankave"@en	""
<http://purl.obolibrary.org/obo/LANG_1000010>	"Afade"@en	""
<http://purl.obolibrary.org/obo/LANG_1000011>	"Anambé"@en	""
<http://purl.obolibrary.org/obo/LANG_1000012>	"Algerian Saharan Arabic"@en	""
<http://purl.obolibrary.org/obo/LANG_1000013>	"Pará Arára"@en	""
